country,country_code,year,predicted_population
Afghanistan,AFG,2024,42553258.788499996
Afghanistan,AFG,2025,43642622.2134856
Afghanistan,AFG,2026,44720594.98215869
Afghanistan,AFG,2027,45784945.14273407
Afghanistan,AFG,2028,46833420.38650268
Afghanistan,AFG,2029,47863755.63500574
Afghanistan,AFG,2030,48873680.87890437
Afghanistan,AFG,2031,49860929.23265824
Afghanistan,AFG,2032,50823245.16684855
Afghanistan,AFG,2033,51758392.87791856
Albania,ALB,2024,2790246.726
Albania,ALB,2025,2768761.8262098
Albania,ALB,2026,2747165.4839653634
Albania,ALB,2027,2725462.8766420367
Albania,ALB,2028,2703659.1736289
Albania,ALB,2029,2681759.5343225063
Albania,ALB,2030,2659769.106141062
Albania,ALB,2031,2637693.022560091
Albania,ALB,2032,2615536.4011705867
Albania,ALB,2033,2593304.341760637
Algeria,DZA,2024,46450386.8478
Algeria,DZA,2025,46715154.05283246
Algeria,DZA,2026,46958072.8539072
Algeria,DZA,2027,47178775.79632056
Algeria,DZA,2028,47376926.654665105
Algeria,DZA,2029,47552221.28328737
Algeria,DZA,2030,47704388.39139389
Algeria,DZA,2031,47833190.24005065
Algeria,DZA,2032,47938423.25857876
Algeria,DZA,2033,48019918.57811835
Andorra,AND,2024,80008.6675
Andorra,AND,2025,79208.580825
Andorra,AND,2026,78424.4158748325
Andorra,AND,2027,77655.85659925913
Andorra,AND,2028,76902.59479024631
Andorra,AND,2029,76164.32988025995
Andorra,AND,2030,75440.76874639747
Andorra,AND,2031,74731.62552018133
Andorra,AND,2032,74036.62140284365
Andorra,AND,2033,73355.48448593749
Angola,AGO,2024,37826622.663600005
Angola,AGO,2025,38900898.74724624
Angola,AGO,2026,39970673.46279552
Angola,AGO,2027,41033893.37690588
Angola,AGO,2028,42088464.436692365
Angola,AGO,2029,43132258.354722336
Angola,AGO,2030,44163119.329400204
Angola,AGO,2031,45178871.073976405
Angola,AGO,2032,46177324.12471128
Angola,AGO,2033,47156283.39615516
Antigua and Barbuda,ATG,2024,92807.87640000001
Antigua and Barbuda,ATG,2025,92325.27544272001
Antigua and Barbuda,ATG,2026,91845.18401041787
Antigua and Barbuda,ATG,2027,91367.5890535637
Antigua and Barbuda,ATG,2028,90892.47759048517
Antigua and Barbuda,ATG,2029,90419.83670701465
Antigua and Barbuda,ATG,2030,89949.65355613818
Antigua and Barbuda,ATG,2031,89481.91535764626
Antigua and Barbuda,ATG,2032,89016.6093977865
Antigua and Barbuda,ATG,2033,88553.723028918
Argentina,ARG,2024,45274233.5352
Argentina,ARG,2025,45020697.827402875
Argentina,ARG,2026,44777586.0591349
Argentina,ARG,2027,44544742.6116274
Argentina,ARG,2028,44322018.89856926
Argentina,ARG,2029,44109273.20785613
Argentina,ARG,2030,43906370.55109999
Argentina,ARG,2031,43713182.52067515
Argentina,ARG,2032,43529587.15408832
Argentina,ARG,2033,43355468.805471964
Armenia,ARM,2024,2931572.616
Armenia,ARM,2025,2919553.1682744
Armenia,ARM,2026,2907291.044967647
Armenia,ARM,2027,2894789.6934742862
Armenia,ARM,2028,2882052.6188229993
Armenia,ARM,2029,2869083.3820382957
Armenia,ARM,2030,2855885.5984809194
Armenia,ARM,2031,2842462.936168059
Armenia,ARM,2032,2828819.114074452
Armenia,ARM,2033,2814957.900415487
Australia,AUS,2024,26329399.0596
Australia,AUS,2025,26208283.823925838
Australia,AUS,2026,26087725.718335778
Australia,AUS,2027,25967722.18003143
Australia,AUS,2028,25848270.658003286
Australia,AUS,2029,25729368.61297647
Australia,AUS,2030,25611013.517356776
Australia,AUS,2031,25493202.855176933
Australia,AUS,2032,25375934.122043118
Australia,AUS,2033,25259204.825081717
Austria,AUT,2024,9050951.6418
Austria,AUT,2025,8964062.50603872
Austria,AUT,2026,8869939.849725313
Austria,AUT,2027,8768822.535438444
Austria,AUT,2028,8660966.018252552
Austria,AUT,2029,8546641.266811619
Austria,AUT,2030,8426133.624949574
Austria,AUT,2031,8299741.620575331
Austria,AUT,2032,8167775.728808183
Austria,AUT,2033,8030557.096564205
Azerbaijan,AZE,2024,10271729.275500001
Azerbaijan,AZE,2025,10223452.14790515
Azerbaijan,AZE,2026,10173357.232380414
Azerbaijan,AZE,2027,10121473.110495275
Azerbaijan,AZE,2028,10067829.30300965
Azerbaijan,AZE,2029,10012456.241843097
Azerbaijan,AZE,2030,9955385.241264591
Azerbaijan,AZE,2031,9896648.468341129
Azerbaijan,AZE,2032,9836278.912684249
Azerbaijan,AZE,2033,9774310.355534337
Bahamas,BHS,2024,396454.36600000004
Bahamas,BHS,2025,393480.95825500006
Bahamas,BHS,2026,390490.5029722621
Bahamas,BHS,2027,387483.72609937564
Bahamas,BHS,2028,384461.3530358005
Bahamas,BHS,2029,381424.10834681767
Bahamas,BHS,2030,378372.71548004315
Bahamas,BHS,2031,375307.8964846548
Bahamas,BHS,2032,372230.37173348066
Bahamas,BHS,2033,369140.85964809277
Bahrain,BHR,2024,1564916.125
Bahrain,BHR,2025,1559908.3934
Bahrain,BHR,2026,1554604.70486244
Bahrain,BHR,2027,1549008.1279249352
Bahrain,BHR,2028,1543121.8970388204
Bahrain,BHR,2029,1536949.409450665
Bahrain,BHR,2030,1530494.2219309723
Bahrain,BHR,2031,1523760.047354476
Bahrain,BHR,2032,1516750.7511366454
Bahrain,BHR,2033,1509470.3475311894
Bangladesh,BGD,2024,171535531.778
Bangladesh,BGD,2025,171569838.8843556
Bangladesh,BGD,2026,171569838.8843556
Bangladesh,BGD,2027,171535524.91657874
Bangladesh,BGD,2028,171466910.7066121
Bangladesh,BGD,2029,171364030.56018814
Bangladesh,BGD,2030,171226939.33574
Bangladesh,BGD,2031,171055712.39640427
Bangladesh,BGD,2032,170850445.54152858
Bangladesh,BGD,2033,170611254.91777045
Barbados,BRB,2024,281201.0222
Barbados,BRB,2025,280104.33821342
Barbados,BRB,2026,279011.9312943877
Barbados,BRB,2027,277923.78476233955
Barbados,BRB,2028,276839.8820017664
Barbados,BRB,2029,275760.2064619595
Barbados,BRB,2030,274684.7416567579
Barbados,BRB,2031,273613.47116429656
Barbados,BRB,2032,272546.3786267558
Barbados,BRB,2033,271483.44775011146
Belarus,BLR,2024,9023558.1774
Belarus,BLR,2025,8921591.969995381
Belarus,BLR,2026,8810072.07037044
Belarus,BLR,2027,8689374.083006363
Belarus,BLR,2028,8559902.409169568
Belarus,BLR,2029,8422087.980381938
Belarus,BLR,2030,8276385.8583213305
Belarus,BLR,2031,8123272.719942386
Belarus,BLR,2032,7963244.247359521
Belarus,BLR,2033,7796812.442589707
Belgium,BEL,2024,11608591.7596
Belgium,BEL,2025,11485540.68694824
Belgium,BEL,2026,11344268.536498778
Belgium,BEL,2027,11185448.776987795
Belgium,BEL,2028,11009837.231189085
Belgium,BEL,2029,10818266.063366394
Belgium,BEL,2030,10611637.181556096
Belgium,BEL,2031,10390915.128179729
Belgium,BEL,2032,10157119.537795685
Belgium,BEL,2033,9911317.24498103
Belize,BLZ,2024,410949.6781
Belize,BLZ,2025,411072.96300343
Belize,BLZ,2026,411442.92867013306
Belize,BLZ,2027,412060.09306313825
Belize,BLZ,2028,412925.4192585708
Belize,BLZ,2029,414040.3178905689
Belize,BLZ,2030,415406.6509396078
Belize,BLZ,2031,417026.7368782723
Belize,BLZ,2032,418903.35719422455
Belize,BLZ,2033,421039.76431591506
Benin,BEN,2024,14448239.589300001
Benin,BEN,2025,14783438.747771759
Benin,BEN,2026,15116066.119596623
Benin,BEN,2027,15445596.36100383
Benin,BEN,2028,15771498.444221009
Benin,BEN,2029,16093237.012483116
Benin,BEN,2030,16410273.781629035
Benin,BEN,2031,16722068.983479986
Benin,BEN,2032,17028082.84587767
Benin,BEN,2033,17327777.10396512
Bhutan,BTN,2024,781140.222
Bhutan,BTN,2025,775828.4684903999
Bhutan,BTN,2026,770397.669210967
Bhutan,BTN,2027,764850.8059926481
Bhutan,BTN,2028,759190.9100283026
Bhutan,BTN,2029,753421.0591120875
Bhutan,BTN,2030,747544.3748510132
Bhutan,BTN,2031,741564.0198522051
Bhutan,BTN,2032,735483.194889417
Bhutan,BTN,2033,729305.136052346
Bolivia,BOL,2024,12295529.2368
Bolivia,BOL,2025,12343481.80082352
Bolivia,BOL,2026,12387918.335306486
Bolivia,BOL,2027,12428798.465812998
Bolivia,BOL,2028,12466084.861210436
Bolivia,BOL,2029,12499743.290335704
Bolivia,BOL,2030,12529742.674232509
Bolivia,BOL,2031,12556055.133848397
Bolivia,BOL,2032,12578656.033089325
Bolivia,BOL,2033,12597524.01713896
Bosnia and Herzegovina,BIH,2024,3165922.802
Bosnia and Herzegovina,BIH,2025,3147243.8574682
Bosnia and Herzegovina,BIH,2026,3128989.8430948844
Bosnia and Herzegovina,BIH,2027,3111154.6009892435
Bosnia and Herzegovina,BIH,2028,3093732.1352237035
Bosnia and Herzegovina,BIH,2029,3076716.6084799734
Bosnia and Herzegovina,BIH,2030,3060102.3387941816
Bosnia and Herzegovina,BIH,2031,3043883.7963985726
Bosnia and Herzegovina,BIH,2032,3028055.6006573
Bosnia and Herzegovina,BIH,2033,3012612.517093948
Botswana,BWA,2024,2494322.0545
Botswana,BWA,2025,2507043.0969779505
Botswana,BWA,2026,2518324.790914351
Botswana,BWA,2027,2528146.257598917
Botswana,BWA,2028,2536489.1402489934
Botswana,BWA,2029,2543337.6609276654
Botswana,BWA,2030,2548678.6700156135
Botswana,BWA,2031,2552501.6880206373
Botswana,BWA,2032,2554798.939539856
Botswana,BWA,2033,2555565.379221718
Brazil,BRA,2024,210106088.6778
Brazil,BRA,2025,209055558.234411
Brazil,BRA,2026,207989374.8874155
Brazil,BRA,2027,206907830.13800094
Brazil,BRA,2028,205811218.63826954
Brazil,BRA,2029,204699838.0576229
Brazil,BRA,2030,203573988.948306
Brazil,BRA,2031,202433974.6101955
Brazil,BRA,2032,201280100.9549174
Brazil,BRA,2033,200112676.36937886
Brunei,BRN,2024,457257.924
Brunei,BRN,2025,455566.06968119997
Brunei,BRN,2026,453834.9186164114
Brunei,BRN,2027,452064.9624338074
Brunei,BRN,2028,450256.70258407213
Brunei,BRN,2029,448410.6501034774
Brunei,BRN,2030,446527.32537304284
Brunei,BRN,2031,444607.25787393877
Brunei,BRN,2032,442650.98593929346
Brunei,BRN,2033,440659.0565025667
Bulgaria,BGR,2024,6770612.6991
Bulgaria,BGR,2025,6744207.30957351
Bulgaria,BGR,2026,6716556.059604258
Bulgaria,BGR,2027,6687674.86854796
Bulgaria,BGR,2028,6657580.331639495
Bulgaria,BGR,2029,6626289.704080788
Bulgaria,BGR,2030,6593820.884530792
Bulgaria,BGR,2031,6560192.398019685
Bulgaria,BGR,2032,6525423.378310181
Bulgaria,BGR,2033,6489533.549729476
Burkina Faso,BFA,2024,23486252.76
Burkina Faso,BFA,2025,23934840.187716
Burkina Faso,BFA,2026,24370454.27913243
Burkina Faso,BFA,2027,24792063.138161425
Burkina Faso,BFA,2028,25198652.973627273
Burkina Faso,BFA,2029,25589232.094718497
Burkina Faso,BFA,2030,25962834.883301385
Burkina Faso,BFA,2031,26318525.721202616
Burkina Faso,BFA,2032,26655402.850434005
Burkina Faso,BFA,2033,26972602.144354172
Burundi,BDI,2024,14056282.080799999
Burundi,BDI,2025,14418934.15848464
Burundi,BDI,2026,14776523.725615058
Burundi,BDI,2027,15128204.990284696
Burundi,BDI,2028,15473128.064063186
Burundi,BDI,2029,15810442.255859764
Burundi,BDI,2030,16139299.454781646
Burundi,BDI,2031,16458857.583986323
Burundi,BDI,2032,16768284.106565265
Burundi,BDI,2033,17066759.563662127
Cambodia,KHM,2024,17500499.873999998
Cambodia,KHM,2025,17570501.873496
Cambodia,KHM,2026,17633755.680240586
Cambodia,KHM,2027,17690183.698417358
Cambodia,KHM,2028,17739716.212772924
Cambodia,KHM,2029,17782291.53168358
Cambodia,KHM,2030,17817856.114746947
Cambodia,KHM,2031,17846364.68453054
Cambodia,KHM,2032,17867780.32215198
Cambodia,KHM,2033,17882074.5464097
Cameroon,CMR,2024,28979812.4532
Cameroon,CMR,2025,29576796.58973592
Cameroon,CMR,2026,30162417.162212692
Cameroon,CMR,2027,30735503.08829473
Cameroon,CMR,2028,31294889.244501695
Cameroon,CMR,2029,31839420.317356028
Cameroon,CMR,2030,32367954.694624137
Cameroon,CMR,2031,32879368.3787992
Cameroon,CMR,2032,33372558.904481184
Cameroon,CMR,2033,33846449.24092481
Canada,CAN,2024,38996450.2919
Canada,CAN,2025,38688378.33459399
Canada,CAN,2026,38375002.47008378
Canada,CAN,2027,38056489.949582085
Canada,CAN,2028,37733009.785010636
Canada,CAN,2029,37404732.59988104
Canada,CAN,2030,37071830.479742095
Canada,CAN,2031,36734476.822376445
Canada,CAN,2032,36392846.18792834
Canada,CAN,2033,36047114.149143025
Cape Verde,CPV,2024,519208.489
Cape Verde,CPV,2025,516093.238066
Cape Verde,CPV,2026,512945.0693137974
Cape Verde,CPV,2027,509764.80988405185
Cape Verde,CPV,2028,506553.29158178234
Cape Verde,CPV,2029,503311.35051565897
Cape Verde,CPV,2030,500039.8267373072
Cape Verde,CPV,2031,496739.56388084096
Cape Verde,CPV,2032,493411.4088028393
Cape Verde,CPV,2033,490056.21122297994
Central African Republic,CAF,2024,5353315.546999999
Central African Republic,CAF,2025,5561559.521778299
Central African Republic,CAF,2026,5777348.031223296
Central African Republic,CAF,2027,6000931.400031637
Central African Republic,CAF,2028,6232567.352072858
Central African Republic,CAF,2029,6472521.195127663
Central African Republic,CAF,2030,6721066.009020565
Central African Republic,CAF,2031,6978482.837166052
Central African Republic,CAF,2032,7245060.881545795
Central African Republic,CAF,2033,7521097.7011326905
Chad,TCD,2024,20076330.779999997
Chad,TCD,2025,20843246.615795996
Chad,TCD,2026,21618615.389903605
Chad,TCD,2027,22401209.267018117
Chad,TCD,2028,23189731.83321716
Chad,TCD,2029,23982820.661913186
Chad,TCD,2030,24779050.307888705
Chad,TCD,2031,25576935.72780272
Chad,TCD,2032,26374936.12251017
Chad,TCD,2033,27171459.193409976
Chile,CHL,2024,19458271.3318
Chile,CHL,2025,19242284.52001702
Chile,CHL,2026,19011377.105776817
Chile,CHL,2027,18766130.341112297
Chile,CHL,2028,18507157.742404945
Chile,CHL,2029,18235102.523591593
Chile,CHL,2030,17950634.924223565
Chile,CHL,2031,17654449.447973877
Chile,CHL,2032,17347262.027579132
Chile,CHL,2033,17029807.132474434
China,CHN,2024,1406509668.8786001
China,CHN,2025,1390194156.7196083
